"calories","fat","carb","fiber","protein","item"
420.0,21.0,57.0,0.0,4.0,"Old-Fashioned Glazed Doughnut"
370.0,14.0,56.0,3.0,5.0,"Outrageous Oatmeal Cookie"
140.0,5.0,21.0,0.0,0.0,"Petite Vanilla Bean Scone"
280.0,1.0,59.0,2.0,9.0,"Plain Bagel"
390.0,14.0,61.0,2.0,6.0,"Pumpkin Bread"
480.0,17.0,78.0,2.0,6.0,"Pumpkin Scone "
480.0,25.0,59.0,3.0,8.0,"Raspberry Scone"
430.0,16.0,69.0,0.0,4.0,"Raspberry Swirl Pound Cake"
400.0,8.0,80.0,4.0,5.0,"Reduced-Fat Banana Chocolate Chip Coffee Cake"
340.0,9.0,62.0,2.0,4.0,"Reduced-Fat Cinnamon Swirl Coffee Cake"
350.0,10.0,59.0,4.0,7.0,"Reduced-Fat Very Berry Coffee Cake "
440.0,19.0,63.0,0.0,6.0,"Starbucks Classic Coffee Cake"
490.0,28.0,52.0,2.0,7.0,"Zucchini Walnut Muffin "
480.0,28.0,39.0,6.0,18.0,"Cheese & Fruit"
270.0,8.0,29.0,6.0,16.0,"Chicken & Hummus"
360.0,19.0,32.0,4.0,17.0,"Chicken Lettuce Wraps"
380.0,15.0,35.0,6.0,26.0,"Chipotle Chicken Wraps"
380.0,19.0,37.0,5.0,13.0,"Protein"
420.0,26.0,22.0,3.0,25.0,"Salumi & Cheese"
350.0,11.0,50.0,6.0,15.0,"Sesame Noodles"
380.0,21.0,25.0,5.0,23.0,"Tuna Salad"
180.0,7.0,27.0,0.0,2.0,"Apple Pie"
170.0,9.0,22.0,0.0,0.0,"Birthday Cake Pop"
190.0,12.0,24.0,0.0,2.0,"Brown Sugar Walnut Tart"
170.0,7.0,24.0,0.0,2.0,"Cherry Pie"
190.0,11.0,23.0,0.0,0.0,"Chocolate Creme Whoopie Pie"
180.0,10.0,23.0,0.0,2.0,"Chocolate Hazelnut Tart"
160.0,8.0,24.0,0.0,2.0,"Raspberry Truffle Cake Pop"
190.0,11.0,21.0,0.0,0.0,"Red Velvet Whoopie Pie"
170.0,9.0,22.0,0.0,0.0,"Tiramisu Cake Pop"
350.0,18.0,30.0,0.0,17.0,"Bacon & Gouda Artisan Breakfast Sandwich"
300.0,10.0,33.0,5.0,14.0,"Chicken Sausage Breakfast Wrap"
350.0,16.0,31.0,0.0,20.0,"Ham & Cheddar Artisan Breakfast Sandwich"
500.0,28.0,41.0,0.0,19.0,"Sausage & Cheddar Classic Breakfast Sandwich"
290.0,10.0,33.0,6.0,19.0,"Spinach & Feta Breakfast Wrap"
140.0,0.08680555555555557,25.0,4.0,5.0,"Starbucks Perfect Oatmeal"
320.0,7.0,43.0,3.0,18.0,"Turkey Bacon & White Cheddar Classic Breakfast Sandwich"
350.0,18.0,30.0,0.0,17.0,"Veggie & Monterey Jack Artisan Breakfast Sandwich"
80.0,0.0,20.0,2.0,0.0,"Deluxe Fruit Blend"
400.0,11.0,47.0,2.0,26.0,"Chicken Santa Fe Panini"
460.0,27.0,37.0,5.0,22.0,"Egg Salad Sandwich "
360.0,9.0,43.0,2.0,28.0,"Ham & Swiss Panini"
390.0,18.0,44.0,3.0,15.0,"Roasted Tomato & Mozzarella Panini"
350.0,12.0,48.0,4.0,13.0,"Roasted Vegetable Panini"
420.0,13.0,46.0,6.0,32.0,"Tarragon Chicken Salad Sandwich"
390.0,13.0,36.0,2.0,34.0,"Turkey & Swiss Sandwich"
300.0,12.0,44.0,0.0,8.0,"Greek Yogurt Honey Parfait"
300.0,4.0,57.0,3.0,10.0,"Peach Raspberry Yogurt Parfait"
300.0,0.12847222222222224,60.0,3.0,7.0,"Strawberry & Blueberry Yogurt Parfait"
